Time,AIG,American express,Boeing,Bank of America,Canon,Caterpillar,Colgate-Palmolive,Cisco,Dell,Ford,General Electrics,Home Depot,Honda,HP,Intel,Johnson & Johnson,JPMorgan Chase,Coca Cola,Lookheed Martin,McDonalds,3M,Microsoft,Mitsubishi,Navistar,Pepsi,Pfizer,Procter Gamble,Sony,Symantec,Toyota,Texas instruments,Unilever,Valero Energy,Walgreen,Wells Fargo,Wal-Mart,Exxon,Xerox,Yahoo
19/1/2010,0.200001,0.719997,0.050004,0.260001,0.900001,1.170002,0.559997,0.309999,0.42,0.24,0.190001,0.42,0.120003,0.650001,0.149999,1.209999,-0.120003,0.199997,1.509995,0.579998,1.300003,0.35,0.01,2.759998,0.100002,0.469999,0.920002,0.400002,0.349998,0.82,0.269998,0.299999,0.12,0.120003,0.350001,0.119999,0.529999,0.19,-0.030001
20/1/2010,-0.1,0.05,-0.130001,0.270001,-0.16,-0.41,-0.910004,-0.210001,-0.22,-0.17,0,-0.040001,-0.700001,-0.049997,0.09,-0.319999,0.390004,-0.66,0.300003,-0.480004,-0.110001,-0.219999,-0.15,0.240002,-0.139999,-0.109998,-0.52,-0.259998,-0.370001,-1.349998,0.029999,-0.099999,0.429996,0.350003,-0.2,-0.059997,-0.529999,-0.03,-0.270001
21/1/2010,-0.460001,-0.830002,-1.099998,-0.989999,-0.100003,-2.650002,-1.169998,-0.53,-0.17,-0.35,-0.449999,-0.149999,-0.240001,-1.12,-0.31,-1.099999,-2.5,-1.18,-1.07,0.23,-1.900001,-0.600001,-0.01,-1.459999,-1.069999,-0.800001,-0.720001,-0.389999,-0.270001,-0.75,-0.369999,-0.7,-0.180006,-0.700001,0.02,-1.150002,-1.420006,0.12,-0.189998
22/1/2010,-1.190001,-2.770001,-0.849999,-0.36,-0.25,-2.330002,1.659996,-0.870001,-0.645,-0.49,-0.439998,-0.520001,-0.380001,-1.720002,-0.86,-0.709999,-1.490002,-0.109996,-1.169998,0.159999,-0.919999,-1.040001,-0.06,-1.209999,-0.360001,-0.300001,0.560001,-0.489998,-0.339998,-1.610001,-0.989999,-0.34,-0.510002,-0.319999,-0.709999,-0.02,-0.419999,-0.22,-0.2
25/1/2010,-0.65,-1.309997,-0.569999,-0.18,0.300003,-0.020001,-0.659996,-0.11,0.15,0.3,-0.089998,-0.33,0.080001,0.510004,0.08,-0.449997,-0.549999,-0.140004,0.510002,-0.25,-0.5,0.08,0.08,0.110001,-0.470001,-0.39,-0.200001,-0.080002,0.109998,-0.669998,0.280001,-0.09,0.019999,0.449997,0.209999,-0.259998,-0.700005,-0.14,-0.21
26/1/2010,-1.300001,0.559997,0.169998,-0.17,0.089996,0.859996,0.519996,0.100001,-0.23,0.02,0.02,0.23,0.099998,-0.359997,-0.18,0.150002,-0.560001,0.069999,0.360001,1.060001,0.169998,0.299999,-0.09,0.100003,0.150002,0.060002,0.520001,-0.240002,0.16,0.029999,-0.039999,0.180001,0.760002,-0.380001,-0.460001,0.790001,0.279999,-0.01,0.17
27/1/2010,0.43,0.709999,3.09,0.48,0.239997,0.48,0,0.260001,0.02,-0.02,0.009998,0.219999,0.270001,-0.320001,0.24,0.66,0.980004,0.509998,0.439995,0.060002,0.970001,0.32,0.09,-0.229999,0.240002,0.219999,0.350002,0.240002,0.220002,-1.660003,0.16,0.280001,-0.149998,0.549999,1.300001,-0.119998,-0.120003,0.06,-0.479999
28/1/2010,-1.69,-1.239998,0.409999,-0.03,-0.59,-1.959999,-0.720001,-0.66,-0.29,-0.49,-0.27,-0.59,-0.509999,-1.61,-0.379999,0.229999,-0.2,-0.529999,-2.279998,-1.019996,-1.870003,-0.68,-0.12,-0.25,-0.559997,-0.440001,0.010002,-0.510002,-0.630001,-0.490006,-0.41,-0.2,-0.219993,-0.349998,0.17,-0.77,-0.889999,-0.06,-0.49
29/1/2010,-0.300001,0.060002,-2.200001,-0.31,-0.389999,-0.539997,-0.440002,-0.480002,-0.45,-0.76,-0.139999,0.44,-0.68,-1.299999,-0.729999,-1.09,-0.710003,-0.189999,-1.640007,-0.39,-0.86,-1.72,-0.04,-0.639999,-0.220001,-0.040001,-0.360001,-0.240001,-0.559999,-0.900002,-0.610001,-0.460001,-0.040007,-0.470001,-0.010001,-0.25,-0.720002,-0.18,-0.5
1/2/2010,-0.42,0.369999,0.959999,0.16,0.149997,0.119999,-0.479996,0.08,0.24,-0.02,0.049999,0.379999,-0.030002,0.459998,0.140002,-0.169998,0.530003,-0.129997,-0.449997,1.059997,-0.399994,0.020001,0.05,1.330002,0.770001,0,0.140004,0.209999,0.219999,0.950004,0.49,0.200001,0.500002,0.09,0.33,-0.139999,0.410003,0.22,-0.09
2/2/2010,-0.020001,0.34,0.649998,0.15,0.769996,0.069999,1.210007,0.210001,-0.03,0.13,0.58,0.640002,0.289997,0.290001,0.23,0.790001,0.75,0.52,1.550003,0.16,-0.269997,0.089998,0.07,1.819999,0.470002,0.369999,0.970002,0.650002,0.020001,-2.309998,0.34,0.360001,0.050007,0.430001,-0.169998,-0.099998,0.229996,0.15,0.07
3/2/2010,-0.099998,-0.579998,-0.060001,-0.04,0.349998,0.189998,-0.129997,-0.09,0.13,0.15,-0.110001,-0.470002,1.380002,0.26,-0.100001,-0.239998,-0.290001,-0.049999,0.510002,0.580002,1.669998,0.369999,-0.12,0.380001,0.370003,-0.07,-0.09,0.189999,0.08,-2.209999,-0.059999,-0.050001,0.009999,-1.380001,-0.430001,0.54,-0.279999,-0.1,0.34
4/2/2010,-0.940001,-0.5,-1.630001,-0.6,-0.169998,-1.399997,-0.790001,-0.25,-0.18,-0.43,-0.439999,-0.31,-0.290001,-1.160002,-0.55,-0.850003,-1.440003,-1.119999,-0.25,-1.130004,-1.919998,-0.539999,-0.16,-2.36,-1.190003,-0.319999,-0.799999,-0.060001,-0.22,-0.660003,-0.42,-0.049999,-0.529998,-1.27,-0.890002,-0.91,-1.549996,-0.33,-0.33
5/2/2010,-0.09,0.189998,-0.809997,0.16,0.09,0.540001,-0.379997,0.400002,0.16,-0.06,-0.250001,0.13,-0.079998,0.410002,0.369999,-0.05,-0.34,-0.150002,-0.129997,-0.700001,-0.620003,0.02,0.05,-0.289997,0,0.049999,0.209999,-0.080002,0.269998,1.620003,0.42,0.23,0.109991,-0.14,0.120001,0.680001,0.100006,-0.08,0.18
8/2/2010,-0.25,-0.969997,-0.440003,-0.46,-0.350002,-0.86,-0.440003,-0.280001,0.11,-0.12,-0.23,0.059999,-0.180001,0.440003,-0.13,-0.130001,-0.59,-0.619998,-1.150001,-0.560002,-0.950004,-0.290001,0.01,0.069999,-0.639999,-0.07,-0.050003,-0.370003,0.059999,-1.080002,0.1,0.19,-0.289997,-0.610001,-0.8,-0.450001,-0.560006,0.06,-0.19
9/2/2010,0.76,0.270001,1.120003,-0.2,0.169998,0.829998,0.659996,0.09,-0.07,-0.03,-0.16,0,0.34,0.020001,0.010001,0.209999,0.2,0.319999,0.279999,0.419998,0.440002,0.040001,0.03,0.129997,0.759998,0.009998,0.379997,0.369998,-0.15,-0.400002,0.049999,0.570002,0.029997,0.060002,-0.18,0.040001,0.089996,-0.15,-0.13
